Отчет о группе объявлений
20 апреля 2026 г. - 26 апреля 2026 г.
Статус группы объявлений,Группа объявлений,Статус,Причины статуса,Тип группы объявлений,Показы,CTR,Код валюты,Расходы,Ограничения по брендам,Интересующие местоположения,Kлики,Коэфф. конверсии,Конверсии,Ср. цена за клик,Стоимость/конв.
Включено,RU | Создание,Допущено,неизвестно,Стандартная,92,"9,78%",UAH,"1801,97",[],[],9,"11,11%","1,00","200,22","1801,97"
Включено,RU | Заказать,Допущено,неизвестно,Стандартная,11,"0,00%",UAH,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Включено,RU | Создать,Допущено,неизвестно,Стандартная,276,"5,43%",UAH,"2170,63",[],[],15,"0,00%","0,00","144,71","0,00"
Включено,RU | Дропшиппинг,Допущено,неизвестно,Стандартная,6,"0,00%",UAH,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Включено,UA | Створення,Допущено,неизвестно,Стандартная,73,"8,22%",UAH,"799,64",[],[],6,"0,00%","0,00","133,27","0,00"
Включено,RU | Под ключ,Допущено,неизвестно,Стандартная,95,"7,37%",UAH,"810,48",[],[],7,"0,00%","0,00","115,78","0,00"
Включено,RU | Разработка,Допущено,неизвестно,Стандартная,41,"2,44%",UAH,"123,57",[],[],1,"0,00%","0,00","123,57","0,00"
Включено,UA | Розробка,Допущено,неизвестно,Стандартная,151,"3,31%",UAH,"712,48",[],[],5,"0,00%","0,00","142,50","0,00"
Итого (Группы объявлений),,,,,745,"5,77%",UAH,"6418,77",,,43,"2,33%","1,00","149,27","6418,77"
Итого (Кампания),,,,,745,"5,77%",UAH,"6418,77",,,43,"2,33%","1,00","149,27","6418,77"
