Отчет о ключевых словах в поисковой сети
6 апреля 2026 г. - 16 мая 2026 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Группа объявлений,Статус,Причины статуса,Конверсии,Код валюты,Стоимость/конв.,Kлики,Показы,CTR,Расходы,Код валюты после конвертации,Расч. ставка для показа вверху стр.,Расч. ставка для первой стр.,Расч. ставка для первой поз.,Показатель качества,Ожидаемый CTR,Релевантность объявлений,Кач-во целевой страницы,Коэфф. конверсии
Включено,"""создание сайта для дропшиппинга""",Фразовое соответствие,RU | Дропшиппинг,Допущено,,"0,00",UAH,"0,00",2,11,"18,18%","175,25",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создать сайт для дропшиппинга""",Фразовое соответствие,RU | Дропшиппинг,Ограничено,низкое качество,"0,00",UAH,"0,00",0,5,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""создать дропшиппинг платформу""",Фразовое соответствие,RU | Дропшиппинг,Ограничено,низкое качество,"0,00",UAH,"0,00",2,2,"100,00%","174,46",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""разработка интернет магазина под ключ""",Фразовое соответствие,RU | Разработка,Ограничено,низкое качество,"0,00",UAH,"0,00",0,13,"0,00%","0,00",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""разработка интернет магазина цена""",Фразовое соответствие,RU | Разработка,Допущено,,"0,00",UAH,"0,00",2,23,"8,70%","210,27",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""разработка интернет магазина""",Фразовое соответствие,RU | Разработка,Ограничено,низкое качество,"0,00",UAH,"0,00",1,65,"1,54%","141,95",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""разработать интернет магазин под ключ""",Фразовое соответствие,RU | Разработка,Допущено,,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""интернет магазин разработка""",Фразовое соответствие,RU | Разработка,Допущено,,"0,00",UAH,"0,00",1,15,"6,67%","123,57",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""разработка интернет магазинов""",Фразовое соответствие,RU | Разработка,Допущено,,"0,00",UAH,"0,00",0,29,"0,00%","0,00",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""разработка сайта интернет магазина""",Фразовое соответствие,RU | Разработка,Допущено,,"0,00",UAH,"0,00",2,26,"7,69%","527,20",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"0,00%"
