Отчет о целевых страницах
6 апреля 2026 г. - 16 мая 2026 г.
Целевая страница,Кем выбрано,Скорость работы на мобильных устройствах,Доля кликов для мобильных страниц,Доля кликов для AMP-страниц,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы
https://t.me/prometeylabs,ADVERTISER, --, --, --,0,8,"0,00%",UAH,0,"0,00"
https://www.prometeylabs.com/contacts/,ADVERTISER, --, --, --,1,669,"0,15%",UAH,"138,62","138,62"
https://www.prometeylabs.com/calculator/,ADVERTISER, --, --, --,0,661,"0,00%",UAH,0,"0,00"
https://www.prometeylabs.com/internet-shop/{ignore}?utm_source=google&utm_medium=cpc&utm_campaign=gads_shops,ADVERTISER, --, --, --,6,234,"2,56%",UAH,"214,55","1287,29"
https://www.prometeylabs.com/internet-shop/,ADVERTISER, --, --, --,33,734,"4,50%",UAH,"132,12","4360,08"
https://prometeylabs.com/internet-shop-ru/,ADVERTISER, --, --, --,93,1 403,"6,63%",UAH,"138,91","12918,73"
https://www.prometeylabs.com/developer/,ADVERTISER, --, --, --,0,932,"0,00%",UAH,0,"0,00"
https://www.prometeylabs.com/ru/internet-shop/,ADVERTISER, --, --, --,14,276,"5,07%",UAH,"73,19","1024,72"
https://prometeylabs.com/internet-shop-ru/{ignore}?utm_source=google&utm_medium=cpc&utm_campaign=gads_shops,ADVERTISER, --, --, --,29,480,"6,04%",UAH,"194,79","5648,98"
https://www.prometeylabs.com/portfolio/,ADVERTISER, --, --, --,5,1 429,"0,35%",UAH,"141,29","706,44"
Итого (Целевые страницы), --, --, --, --,175,2 991,"5,85%",UAH,"144,23","25239,80"
Итого (Кампания),, --, --, --,181,2 991,"6,05%",UAH,"144,12","26084,86"
