Отчет по статистике аукционов
20 апреля 2026 г. - 26 апреля 2026 г.
Домен отображаемого URL,Процент полученных показов,Степень пересечения,Коэффициент для следующей позиции,Коэффициент для показа над результатами поиска,Доля показов на самой верхней позиции,Процент выигрышей
brander.ua,< 10%,"12,34%","45,45%","75,95%","22,78%","61,14%"
horoshop.ua,< 10%,"7,85%","11,90%","83,02%","3,77%","64,16%"
opti.global,< 10%,"7,66%","14,63%","73,81%","11,90%","64,04%"
shop-express.ua,< 10%,"6,73%","11,11%","70,45%","0,00%","64,29%"
devcode.pro,"28,45%","34,21%","83,61%","75,74%","47,23%","46,25%"
asabix.com.ua,"10,29%","14,39%","5,19%","81,18%","1,18%","64,29%"
Вы,"64,77%", --, --,"75,14%","36,26%", --
it-granat.com,< 10%,"7,66%","19,51%","67,31%","5,77%","63,80%"
webcase.com.ua,< 10%,"6,17%","42,42%","82,61%","6,52%","63,08%"
webmagazin.com.ua,"21,31%","26,92%","68,06%","90,34%","51,70%","52,91%"
increate.ua,< 10%,"9,35%","42,00%","67,92%","28,30%","62,23%"
